HALL CONDUCTANCE COEFFICIENTS
From WANG and ZOU ET AL (2022)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
84.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
84.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
84.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
84.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
84.0    17.0    1.87    2.34    0.13    0.33    0.00    0.00    
84.0    18.0    3.10    2.21    0.39    0.23    0.00    0.00    
84.0    19.0    3.10    2.21    0.39    0.23    0.00    0.00    
84.0    20.0    3.10    2.21    0.39    0.23    0.00    0.00    
84.0    21.0    2.84    2.50    0.29    0.31    0.00    0.00    
84.0    22.0    2.84    2.50    0.29    0.31    0.00    0.00    
84.0    23.0    2.84    2.50    0.29    0.31    0.00    0.00    
82.0    0.0     3.43    2.66    0.52    0.14    0.00    0.00    
82.0    1.0     3.43    2.66    0.52    0.14    0.00    0.00    
82.0    2.0     3.43    2.66    0.52    0.14    0.00    0.00    
82.0    3.0     3.62    3.37    0.54    0.40    0.00    0.00    
82.0    4.0     3.62    3.37    0.54    0.40    0.00    0.00    
82.0    5.0     3.62    3.37    0.54    0.40    0.00    0.00    
82.0    6.0     3.36    2.69    0.45    0.28    0.00    0.00    
82.0    7.0     3.36    2.69    0.45    0.28    0.00    0.00    
82.0    8.0     3.36    2.69    0.45    0.28    0.00    0.00    
82.0    9.0     3.19    2.12    0.41    0.14    0.00    0.00    
82.0    10.0    3.19    2.12    0.41    0.14    0.00    0.00    
82.0    11.0    3.19    2.12    0.41    0.14    0.00    0.00    
82.0    12.0    3.02    1.55    0.37    0.00    0.00    0.00    
82.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
82.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
82.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
82.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
82.0    17.0    1.87    2.34    0.13    0.33    0.00    0.00    
82.0    18.0    3.10    2.21    0.39    0.23    0.00    0.00    
82.0    19.0    3.10    2.21    0.39    0.23    0.00    0.00    
82.0    20.0    3.10    2.21    0.39    0.23    0.00    0.00    
82.0    21.0    2.84    2.50    0.29    0.31    0.00    0.00    
82.0    22.0    2.84    2.50    0.29    0.31    0.00    0.00    
82.0    23.0    2.84    2.50    0.29    0.31    0.00    0.00    
80.0    0.0     3.43    2.66    0.52    0.14    0.00    0.00    
80.0    1.0     3.43    2.66    0.52    0.14    0.00    0.00    
80.0    2.0     3.43    2.66    0.52    0.14    0.00    0.00    
80.0    3.0     3.62    3.37    0.54    0.40    0.00    0.00    
80.0    4.0     3.62    3.37    0.54    0.40    0.00    0.00    
80.0    5.0     3.62    3.37    0.54    0.40    0.00    0.00    
80.0    6.0     3.36    2.69    0.45    0.28    0.00    0.00    
80.0    7.0     3.36    2.69    0.45    0.28    0.00    0.00    
80.0    8.0     3.36    2.69    0.45    0.28    0.00    0.00    
80.0    9.0     3.19    2.12    0.41    0.14    0.00    0.00    
80.0    10.0    3.19    2.12    0.41    0.14    0.00    0.00    
80.0    11.0    3.19    2.12    0.41    0.14    0.00    0.00    
80.0    12.0    3.02    1.55    0.37    0.00    0.00    0.00    
80.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
80.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
80.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
80.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
80.0    17.0    1.87    2.34    0.13    0.33    0.00    0.00    
80.0    18.0    3.10    2.21    0.39    0.23    0.00    0.00    
80.0    19.0    3.10    2.21    0.39    0.23    0.00    0.00    
80.0    20.0    3.10    2.21    0.39    0.23    0.00    0.00    
80.0    21.0    2.84    2.50    0.29    0.31    0.00    0.00    
80.0    22.0    2.84    2.50    0.29    0.31    0.00    0.00    
80.0    23.0    2.84    2.50    0.29    0.31    0.00    0.00    
78.0    0.0     3.43    2.66    0.52    0.14    0.00    0.00    
78.0    1.0     3.43    2.66    0.52    0.14    0.00    0.00    
78.0    2.0     3.43    2.66    0.52    0.14    0.00    0.00    
78.0    3.0     3.62    3.37    0.54    0.40    0.00    0.00    
78.0    4.0     3.62    3.37    0.54    0.40    0.00    0.00    
78.0    5.0     3.62    3.37    0.54    0.40    0.00    0.00    
78.0    6.0     3.36    2.69    0.45    0.28    0.00    0.00    
78.0    7.0     3.36    2.69    0.45    0.28    0.00    0.00    
78.0    8.0     3.36    2.69    0.45    0.28    0.00    0.00    
78.0    9.0     3.19    2.12    0.41    0.14    0.00    0.00    
78.0    10.0    3.19    2.12    0.41    0.14    0.00    0.00    
78.0    11.0    3.19    2.12    0.41    0.14    0.00    0.00    
78.0    12.0    3.02    1.55    0.37    0.00    0.00    0.00    
78.0    13.0    3.02    1.55    0.37    0.00    0.00    0.00    
78.0    14.0    3.02    1.55    0.37    0.00    0.00    0.00    
78.0    15.0    1.87    2.34    0.13    0.33    0.00    0.00    
78.0    16.0    1.87    2.34    0.13    0.33    0.00    0.00    
