PED CONDUCTANCE COEFFICIENTS
From WANG and ZOU ET AL (2022)

#DIMENSIONS
24	nMlt
16	nLat

Lat	MLT	A0_up	A0_do	A1_up	A1_do	A2_up	A2_do

#START
84.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
84.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
84.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
84.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
84.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
84.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
84.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
84.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
84.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
84.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
84.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
82.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
82.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
82.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
82.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
82.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
82.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
82.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
82.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
82.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
82.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
82.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
82.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
82.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
82.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
82.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
82.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
82.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
82.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
82.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
82.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
82.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
82.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
82.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
82.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
80.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
80.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
80.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
80.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
80.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
80.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
80.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
80.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
80.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
80.0    9.0     1.92    1.35    0.21    0.06    0.00    0.00    
80.0    10.0    1.92    1.35    0.21    0.06    0.00    0.00    
80.0    11.0    1.92    1.35    0.21    0.06    0.00    0.00    
80.0    12.0    1.75    1.24    0.14    0.01    0.00    0.00    
80.0    13.0    1.75    1.24    0.14    0.01    0.00    0.00    
80.0    14.0    1.75    1.24    0.14    0.01    0.00    0.00    
80.0    15.0    1.83    2.14    0.22    0.38    0.00    0.00    
80.0    16.0    1.83    2.14    0.22    0.38    0.00    0.00    
80.0    17.0    1.83    2.14    0.22    0.38    0.00    0.00    
80.0    18.0    2.92    1.90    0.43    0.25    0.00    0.00    
80.0    19.0    2.92    1.90    0.43    0.25    0.00    0.00    
80.0    20.0    2.92    1.90    0.43    0.25    0.00    0.00    
80.0    21.0    2.46    2.09    0.33    0.29    0.00    0.00    
80.0    22.0    2.46    2.09    0.33    0.29    0.00    0.00    
80.0    23.0    2.46    2.09    0.33    0.29    0.00    0.00    
78.0    0.0     2.72    2.18    0.44    0.13    0.00    0.00    
78.0    1.0     2.72    2.18    0.44    0.13    0.00    0.00    
78.0    2.0     2.72    2.18    0.44    0.13    0.00    0.00    
78.0    3.0     2.75    2.54    0.47    0.34    0.00    0.00    
78.0    4.0     2.75    2.54    0.47    0.34    0.00    0.00    
78.0    5.0     2.75    2.54    0.47    0.34    0.00    0.00    
78.0    6.0     2.08    1.45    0.29    0.11    0.00    0.00    
78.0    7.0     2.08    1.45    0.29    0.11    0.00    0.00    
78.0    8.0     2.08    1.45    0.29    0.11    0.00    0.00    
